,國際證券辨識號碼,上市日,市場別,產業別,CFICode,備註,股票代號,股票名稱,類型
1896,TW0006021009,2003/04/21,上櫃,金融保險業,ESVUFR,,6021,美好證,股票
1897,TW0006023005,2007/11/28,上櫃,金融保險業,ESVUFR,,6023,元大期,股票
1898,TW0006026008,2016/01/27,上櫃,金融保險業,ESVUFR,,6026,福邦證,股票
1899,TW0006101009,2001/03/29,上櫃,文化創意業,ESVUFR,,6101,寬魚國際,股票
1900,TW0006103005,2001/05/07,上櫃,半導體業,ESVUFR,,6103,合邦,股票
1901,TW0006104003,2001/05/22,上櫃,半導體業,ESVUFR,,6104,創惟,股票
1902,TW0006109002,2001/07/26,上櫃,通信網路業,ESVUFR,,6109,亞元,股票
1903,TW0006111008,2001/08/08,上櫃,文化創意業,ESVUFR,,6111,大宇資,股票
1904,TW0006113004,2001/08/10,上櫃,電子通路業,ESVUFR,,6113,亞矽,股票
1905,TW0006114002,2001/09/27,上櫃,電子零組件業,ESVUFR,,6114,久威,股票
1906,TW0006118003,2001/10/25,上櫃,電子通路業,ESVUFR,,6118,建達,股票
1907,TW0006121007,2001/11/27,上櫃,電腦及週邊設備業,ESVUFR,,6121,新普,股票
1908,TW0006122005,2000/07/14,上櫃,電機機械,ESVUFR,,6122,擎邦,股票
1909,TW0006123003,2002/01/23,上櫃,資訊服務業,ESVUFR,,6123,上奇,股票
1910,TW0006124001,2002/03/19,上櫃,電子零組件業,ESVUFR,,6124,業強,股票
1911,TW0006125008,2002/01/23,上櫃,光電業,ESVUFR,,6125,廣運,股票
1912,TW0006126006,2002/01/18,上櫃,電子零組件業,ESVUFR,,6126,信音,股票
1913,TW0006127004,2002/01/10,上櫃,電子零組件業,ESVUFR,,6127,九豪,股票
1914,TW0006129000,2001/12/25,上櫃,半導體業,ESVUFR,,6129,普誠,股票
1915,TW0006130008,2002/03/26,上櫃,生技醫療業,ESVUFR,,6130,上亞科技,股票
1916,TW0006134000,2002/01/08,上櫃,電子零組件業,ESVUFR,,6134,萬旭,股票
1917,TW0006138001,2002/01/18,上櫃,半導體業,ESVUFR,,6138,茂達,股票
1918,TW0006140007,2002/02/04,上櫃,資訊服務業,ESVUFR,,6140,訊達,股票
1919,TW0006143001,2002/01/28,上櫃,通信網路業,ESVUFR,,6143,振曜,股票
1920,TW0006144009,2002/01/23,上櫃,文化創意業,ESVUFR,,6144,得利影,股票
1921,TW0006146004,2002/01/23,上櫃,其他電子業,ESVUFR,,6146,耕興,股票
1922,TW0006147002,2002/01/31,上櫃,半導體業,ESVUFR,,6147,頎邦,股票
1923,TW0006148000,2002/02/01,上櫃,資訊服務業,ESVUFR,,6148,驊宏資,股票
1924,TW0006150006,2002/03/11,上櫃,電腦及週邊設備業,ESVUFR,,6150,撼訊,股票
1925,TW0006151004,2002/02/25,上櫃,其他電子業,ESVUFR,,6151,晉倫,股票
1926,TW0006154008,2002/02/18,上櫃,電子通路業,ESVUFR,,6154,順發,股票
1927,TW0006156003,2002/02/19,上櫃,電子零組件業,ESVUFR,,6156,松上,股票
1928,TW0006158009,2002/02/19,上櫃,電子零組件業,ESVUFR,,6158,禾昌,股票
1929,TW0006160005,2002/03/01,上櫃,電腦及週邊設備業,ESVUFR,,6160,欣技,股票
1930,TW0006161003,2002/03/01,上櫃,電腦及週邊設備業,ESVUFR,,6161,捷波,股票
1931,TW0006163009,2002/03/19,上櫃,通信網路業,ESVUFR,,6163,華電網,股票
1932,TW0006167000,2002/03/26,上櫃,光電業,ESVUFR,,6167,久正,股票
1933,TW0006169006,2002/03/22,上櫃,文化創意業,ESVUFR,,6169,昱泉,股票
1934,TW0006170004,2002/04/16,上櫃,通信網路業,ESVUFR,,6170,統振,股票
1935,TW0006171002,2002/04/22,上櫃,建材營造業,ESVUFR,,6171,大城地產,股票
1936,TW0006173008,2002/04/19,上櫃,電子零組件業,ESVUFR,,6173,信昌電,股票
1937,TW0006174006,2002/05/02,上櫃,電子零組件業,ESVUFR,,6174,安碁,股票
1938,TW0006175003,2002/06/10,上櫃,電子零組件業,ESVUFR,,6175,立敦,股票
1939,TW0006179005,2002/05/17,上櫃,其他業,ESVUFR,,6179,亞通,股票
1940,TW0006180003,2002/05/21,上櫃,文化創意業,ESVUFR,,6180,橘子,股票
1941,TW0006182009,2002/05/16,上櫃,半導體業,ESVUFR,,6182,合晶,股票
1942,TW0006185002,2002/08/09,上櫃,電子零組件業,ESVUFR,,6185,幃翔,股票
1943,TW0006186000,2002/08/02,上櫃,建材營造業,ESVUFR,,6186,新潤,股票
1944,TW0006187008,2002/09/27,上櫃,半導體業,ESVUFR,,6187,萬潤,股票
1945,TW0006188006,2002/08/27,上櫃,電腦及週邊設備業,ESVUFR,,6188,廣明,股票
1946,TW0006190002,1998/02/04,上櫃,通信網路業,ESVUFR,,6190,萬泰科,股票
1947,TW0006194004,2002/12/05,上櫃,電子零組件業,ESVUFR,,6194,育富,股票
1948,TW0006195001,2002/10/21,上櫃,居家生活,ESVUFR,,6195,詩肯,股票
1949,TW0006198005,2002/12/26,上櫃,建材營造業,ESVUFR,,6198,瑞築,股票
1950,TW0006199003,2016/10/07,上櫃,其他業,ESVUFR,,6199,天品,股票
1951,TW0006203003,2002/12/26,上櫃,電子零組件業,ESVUFR,,6203,海韻電,股票
1952,TW0006204001,2002/11/13,上櫃,電子零組件業,ESVUFR,,6204,艾華,股票
1953,TW0006207004,2002/12/23,上櫃,電子零組件業,ESVUFR,,6207,雷科,股票
1954,TW0006208002,2002/12/23,上櫃,半導體業,ESVUFR,,6208,日揚,股票
1955,TW0006210008,2003/02/14,上櫃,電子零組件業,ESVUFR,,6210,慶生,股票
1956,TW0006212004,2002/12/26,上櫃,建材營造業,ESVUFR,,6212,理銘,股票
1957,TW0006217003,2003/01/09,上櫃,電子零組件業,ESVUFR,,6217,中探針,股票
1958,TW0006218001,2003/01/14,上櫃,通信網路業,ESVUFR,,6218,豪勉,股票
1959,TW0006219009,2003/02/26,上櫃,建材營造業,ESVUFR,,6219,富旺,股票
1960,TW0006220007,2003/01/09,上櫃,電子零組件業,ESVUFR,,6220,岳豐,股票
1961,TW0006221005,2003/01/06,上櫃,資訊服務業,ESVUFR,,6221,晉泰,股票
1962,TW0006222003,2003/01/09,上櫃,光電業,ESVUFR,,6222,立軒,股票
1963,TW0006223001,2003/01/06,上櫃,半導體業,ESVUFR,,6223,旺矽,股票
1964,TW0006227002,2003/01/14,上櫃,電子通路業,ESVUFR,,6227,茂綸,股票
1965,TW0006228000,2003/01/21,上櫃,電腦及週邊設備業,ESVUFR,,6228,全譜,股票
1966,TW0006229008,2003/01/14,上櫃,半導體業,ESVUFR,,6229,研通,股票
1967,TW0006231004,2003/01/23,上櫃,資訊服務業,ESVUFR,,6231,系微,股票
1968,TW0006233000,2003/02/20,上櫃,半導體業,ESVUFR,,6233,旺玖,股票
1969,TW0006234008,2003/03/12,上櫃,光電業,ESVUFR,,6234,高僑,股票
1970,TW0006236003,2003/03/31,上櫃,其他業,ESVUFR,,6236,中湛,股票
1971,TW0006237001,2003/04/21,上櫃,半導體業,ESVUFR,,6237,驊訊,股票
1972,TW0006240005,2003/05/30,上櫃,資訊服務業,ESVUFR,,6240,松崗,股票
1973,TW0006241003,2003/04/08,上櫃,通信網路業,ESVUFR,,6241,易通展,股票
1974,TW0006242001,2003/04/23,上櫃,生技醫療業,ESVUFR,,6242,立康,股票
1975,TW0006244007,2003/05/15,上櫃,光電業,ESVUFR,,6244,茂迪,股票
1976,TW0006245004,2003/05/19,上櫃,通信網路業,ESVUFR,,6245,立端,股票
1977,TW0006246002,2003/06/18,上櫃,光電業,ESVUFR,,6246,臺龍,股票
1978,TW0006248008,2003/09/03,上櫃,鋼鐵工業,ESVUFR,,6248,沛波,股票
1979,TW0006259005,2003/09/17,上櫃,電子零組件業,ESVUFR,,6259,百徽,股票
1980,TW0006261001,2004/03/29,上櫃,半導體業,ESVUFR,,6261,久元,股票
1981,TW0006263007,2003/09/17,上櫃,通信網路業,ESVUFR,,6263,普萊德,股票
1982,TW0006264005,2004/02/24,上櫃,建材營造業,ESVUFR,,6264,富裔,股票
1983,TW0006265002,2003/10/24,上櫃,電子通路業,ESVUFR,,6265,方土昶,股票
1984,TW0006266000,2004/04/29,上櫃,電子零組件業,ESVUFR,,6266,泰詠,股票
1985,TW0006270002,2003/09/17,上櫃,電子通路業,ESVUFR,,6270,倍微,股票
1986,TW0006274004,2003/12/18,上櫃,電子零組件業,ESVUFR,,6274,台燿,股票
1987,TW0006275001,2004/12/23,上櫃,電子零組件業,ESVUFR,,6275,元山,股票
1988,TW0006276009,2003/10/30,上櫃,電腦及週邊設備業,ESVUFR,,6276,安鈦克,股票
1989,TW0006279003,2003/11/26,上櫃,電子零組件業,ESVUFR,,6279,胡連,股票
1990,TW0006284003,2004/06/29,上櫃,電子零組件業,ESVUFR,,6284,佳邦,股票
1991,TW0006290000,2005/06/03,上櫃,電子零組件業,ESVUFR,,6290,良維,股票
1992,TW0006291008,2004/01/28,上櫃,半導體業,ESVUFR,,6291,沛亨,股票
1993,TW0006292006,2003/11/26,上櫃,電子零組件業,ESVUFR,,6292,迅德,股票
1994,TW0006294002,2004/01/13,上櫃,文化創意業,ESVUFR,,6294,智基,股票
1995,TW0006411002,2014/03/11,上櫃,半導體業,ESVUFR,,6411,晶焱,股票
1996,TW0006417009,2015/10/08,上櫃,通信網路業,ESVUFR,,6417,韋僑,股票
1997,TW0006418007,2019/02/18,上櫃,電子零組件業,ESVUFR,,6418,詠昇,股票
1998,TW0006419005,2014/12/29,上櫃,光電業,ESVUFR,,6419,京晨科,股票
1999,TW0006425002,2019/01/18,上櫃,電機機械,ESVUFR,,6425,易發,股票
2000,TW0006432008,2015/05/20,上櫃,電子零組件業,ESVUFR,,6432,今展科,股票
2001,TW0006435001,2016/01/07,上櫃,半導體業,ESVUFR,,6435,大中,股票
2002,TW0006441009,2017/09/27,上櫃,電腦及週邊設備業,ESVUFR,,6441,廣錠,股票
